File,sentId,Sentence,SentenceParse,eId,eiId,eText,Normalization,FactValues,PragValues,TrainTest
ABC19980108.1830.0711.tml,2,The financial assistance from the World Bank and the International Monetary Fund are not helping.,(S (NP (NP (DT The) (JJ financial) (NN assistance)) (PP (IN from) (NP (NP (DT the) (NNP World) (NNP Bank)) (CC and) (NP (DT the) (NNP International) (NNP Monetary) (NNP Fund))))) (VP (VBP are) (RB not) (VP (VBG helping))) (. .)),e4,ei378,helping,the financial assistance from the World Bank and the International Monetary Fund are helping,AUTHOR:ct_minus,ct_minus:9|ct_plus:0|pr_minus:1|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
ABC19980108.1830.0711.tml,15,And Wong Kwan will be lucky to break even.,(S (CC And) (NP (NNP Wong) (NNP Kwan)) (VP (MD will) (VP (VB be) (ADJP (JJ lucky) (S (VP (TO to) (VP (VB break) (ADVP (RB even)))))))) (. .)),e30,ei398,break,Wong Kwan will break even,AUTHOR:pr_minus,ct_minus:0|ct_plus:0|pr_minus:5|pr_plus:0|ps_minus:1|ps_plus:0|uu:4,train
ABC19980108.1830.0711.tml,18,Pak ca n\'t find buyers.,(S (NP (NNP Pak)) (VP (MD ca) (S (NP (NP (NN n) (POS ')) (NN t) (S (VP (VB find) (NP (NNS buyers))))))) (. .)),e34,ei401,find,Pak can find buyers,AUTHOR:ct_minus,ct_minus:9|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:1,train
ABC19980108.1830.0711.tml,21,Nobody believe this any more.,(S (NP (NN Nobody)) (VP (VBP believe) (NP (DT this)) (ADVP (DT any) (RBR more))) (. .)),e41,ei407,believe,someone believes this,AUTHOR:ct_minus,ct_minus:9|ct_plus:0|pr_minus:0|pr_plus:1|ps_minus:0|ps_plus:0|uu:0,train
ABC19980108.1830.0711.tml,23,"But in the past three months, stocks have plunged, interest rates have soared and the downturn all across Asia means that people are not spending here.","(S (CC But) (PP (IN in) (NP (DT the) (JJ past) (CD three) (NNS months))) (, ,) (S (NP (NNS stocks)) (VP (VBP have) (VP (VBN plunged)))) (, ,) (S (NP (NN interest) (NNS rates)) (VP (VBP have) (VP (VBN soared)))) (CC and) (S (NP (DT the) (NN downturn)) (ADVP (DT all) (PP (IN across) (NP (NNP Asia)))) (VP (VBZ means) (SBAR (IN that) (S (NP (NNS people)) (VP (VBP are) (RB not) (VP (VBG spending) (ADVP (RB here)))))))) (. .))",e46,ei412,spending,people are spending in Asia,AUTHOR:ct_minus,ct_minus:7|ct_plus:0|pr_minus:1|pr_plus:0|ps_minus:0|ps_plus:0|uu:2,train
ABC19980108.1830.0711.tml,29,"And at the big brokerage houses, after ten years of boom, they\'re talking about layoffs.","(S (CC And) (PP (IN at) (NP (DT the) (JJ big) (NN brokerage) (NNS houses))) (, ,) (PP (IN after) (NP (NP (NN ten) (NNS years)) (PP (IN of) (NP (NN boom))))) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG talking) (PP (IN about) (NP (NNS layoffs))))) (. .))",e54,ei419,layoffs,there will be layoffs,AUTHOR:ps_plus,ct_minus:0|ct_plus:1|pr_minus:0|pr_plus:3|ps_minus:0|ps_plus:6|uu:0,train
ABC19980114.1830.0611.tml,4,There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder,(S (NP (EX There)) (VP (VBD was) (NP (NP (DT no) (NN hint)) (PP (IN of) (NP (NP (NN trouble)) (PP (IN in) (NP (NP (DT the) (JJ last) (NN conversation)) (PP (IN between) (NP (NP (NNS controllers)) (CC and) (NP (NNP TWA) (NN pilot) (NNP Steven) (NNP Snyder))))))))))),e236,ei277,hint,there was no hint of trouble in the last conversation,AUTHOR:ct_minus,ct_minus:0|ct_plus:10|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
ABC19980114.1830.0611.tml,12,There is no response.,(S (NP (EX There)) (VP (VBZ is) (NP (DT no) (NN response))) (. .)),e61,ei267,response,there is a response,AUTHOR:ct_minus,ct_minus:8|ct_plus:2|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
ABC19980114.1830.0611.tml,16,"At one point, when it became clear controllers could not contact the plane, someone said a prayer.","(S (PP (IN At) (NP (CD one) (NN point))) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBD became) (SBAR (S (NP (JJ clear) (NNS controllers)) (VP (MD could) (RB not) (VP (VB contact) (NP (DT the) (NN plane))))))))) (, ,) (NP (NN someone)) (VP (VBD said) (NP (DT a) (NN prayer))) (. .))",e235,ei275,contact,controllers could contact the plane,GEN_AUTHOR:ct_minus|AUTHOR:ct_minus,ct_minus:10|ct_plus:0|pr_minus:0|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
ABC19980120.1830.0957.tml,10,"For nearly forty years, the United States has said categorically it would not tolerate totalitarian rule in its own backyard.","(S (PP (IN For) (NP (RB nearly) (JJ forty) (NNS years))) (, ,) (NP (DT the) (NNP United) (NNPS States)) (VP (VBZ has) (VP (VBN said) (ADVP (RB categorically)) (SBAR (S (NP (PRP it)) (VP (MD would) (RB not) (VP (VB tolerate) (NP (NN totalitarian) (NN rule)) (PP (IN in) (NP (PRP$ its) (JJ own) (NN backyard))))))))) (. .))",e99,ei432,tolerate,the United States tolerates totalitarian rule,States_AUTHOR:ct_minus|AUTHOR:uu,ct_minus:8|ct_plus:0|pr_minus:2|pr_plus:0|ps_minus:0|ps_plus:0|uu:0,train
